References,Value,Quantity Per PCB,Digi-Key PN,display_footprint
C207 C301 C302 C303 C304 C305 C411 C413 C506 C508 C606 C608 C706 C708 C802 C803 C804 C1102,0.1uF,18,490-4779-1-ND,603
C201,0.1uF,1,490-4779-1-ND,603
C415 C510 C610 C710,0.22uF,4,1276-1049-1-ND,402
C401 C402 C406,100pF,3,478-1089-1-ND,402
C204 C206 C208,100uF,3,718-1102-1-ND,7343
C405 C407 C408 C410 C412 C420 C501 C502 C503 C505 C507 C515 C601 C602 C603 C605 C607 C615 C701 C702 C703 C705 C707 C715 C805,100uF,25,478-9994-1-ND,3528
C417 C419 C512 C514 C612 C614 C712 C714,100uF,8,587-3432-1-ND,1210
C202 C205,10nF,2,1276-1921-1-ND,603
C801 C1103,10uF,2,399-5034-1-ND,3528
C203,1nF,1,311-1080-1-ND,603
C409 C414 C509 C604 C609 C704 C709 C1101,1uF,8,1276-6524-1-ND,603
C504,1uF,1,1276-6524-1-ND,603
C404,2200pF,1,478-1105-1-ND,402
C416 C418 C511 C513 C611 C613 C711 C713,22uF,8,445-1436-1-ND,1210
C403,3300pF,1,478-5132-1-ND,402
D201,24V,1,SMAJ24CALFCT-ND,
D202 D302 D303,Green,3,160-1446-1-ND,
D301,Red,1,160-1447-1-ND,
J201,+12V IN,1,732-3214-ND,
J901 J902,+5V OUT,2,732-3214-ND,
J301,CLKOUT,1,,
J1101,FG_LOAD,1,,
J206,GND IN,1,732-3214-ND,
J903 J904,GND OUT,2,732-3214-ND,
J304,IAVG,1,,
J1102,ISNS,1,,
J1402,LOOP_TAP,1,,
J305,PGOOD,1,,
J302,RUN,1,,
J303,THDN,1,,
J1401,VOUT,1,,
J1403,Wave_Gen_In,1,,
L401 L501 L601 L701,0.47uH,4,541-2595-1-ND,IHLP4040
MK1001 MK1002 MK1009 MK1010,4-40 Screw,4,36-9900-ND,
MK1003 MK1004 MK1011 MK1012,4-40 Standoff,4,36-8400-ND,
Q201 Q202 Q1101 Q1102 Q1201 Q1202 Q1301 Q1302,IPC100N04S51R7ATMA1,8,BSC123N10LSGATMA1CT-ND,
R301,0,1,311-0.0GRCT-ND,603
R408 R412 R413 R414 R504 R505 R604 R605 R704 R705,0,10,RMCF0402ZT0R00CT-ND,402
R407 R503 R603 R703,1.4k,4,RMCF0402FT1K40CT-ND,402
R205 R206 R1102 R1103 R1104 R1201 R1202 R1301 R1302,10,9,YAG3351CT-ND,603
R409,10,1,311-10.0LRCT-ND,402
R204,100k,1,P100KHCT-ND,603
R410,100k,1,311-100KLRCT-ND,402
R207 R304 R305 R310 R1101 R1105 R1106 R1203 R1204 R1303 R1304,10k,11,RHM10KADCT-ND,603
R404,10k,1,311-10.0KLRCT-ND,402
R411,13.7k,1,311-13.7KLRCT-ND,402
R209 R306 R307 R308,1k,4,RHM1.0KDCT-ND,603
R302 R405 R406 R501 R502 R601 R602 R701 R702,2,9,RMCF0603FT2R00CT-ND,603
R801,200,1,MCT0603-200-CFCT-ND,603
R203,243k,1,541-243KHCT-ND,603
R402,324,1,YAG3118CT-ND,402
R208,5.1k,1,RMCF0603FT5K10CT-ND,603
R303,51.1k,1,P51.1KHCT-ND,603
R1107 R1108 R1205 R1206 R1305 R1306,5m,6,YAG2145CT-ND,2512
R201,6.04M,1,541-6.04MHCT-ND,603
R403,6.04k,1,RMCF0402FT6K04CT-ND,402
R401,66.5k,1,RMCF0402FT66K5CT-ND,402
R802,680,1,P680HCT-ND,603
R202,86.6k,1,311-86.6KHRCT-ND,603
T1401,1:1 Pulse Transformer,1,811-2650-ND,
U202 U303 U304,74LVC1G06,3,296-8484-1-ND,
U302,74LVC1G17,1,296-11934-1-ND,
U801,LM1117-ADJ,1,LM1117IMPX-ADJ/NOPBCT-ND,
U1101,LT1010DD,1,LT1010CDD#PBF-ND,
U201,LTC4365DDB,1,LTC4365IDDB#TRMPBFCT-ND,
U301,LTC7851UHH,1,LTC7851IUHH#PBF-ND,
U401 U501 U601 U701,SiC779,4,SIC779CD-T1-GE3CT-ND,
